16	0.769728
24	0.759546
32	0.724406
40	0.695429
48	0.678647
56	0.672083
64	0.659512
72	0.672606
80	0.672024
88	0.672181
96	0.670795
104	0.673018
112	0.673136
120	0.672424
128	0.659488
136	0.672783
144	0.672638
152	0.672118
160	0.672306
168	0.673638
176	0.673413
184	0.673737
192	0.674057
200	0.688894
208	0.687489
216	0.673733
224	0.672688
232	0.672905
240	0.67163
248	0.670374
256	0.659973
264	0.670847
272	0.670936
280	0.672386
288	0.67239
296	0.673536
304	0.673429
312	0.673764
320	0.673822
328	0.674631
336	0.674746
344	0.67473
352	0.674423
360	0.674184
368	0.673755
376	0.673807
384	0.673827
392	0.686356
400	0.686626
408	0.686984
416	0.687095
424	0.688457
432	0.688323
440	0.68856
448	0.688528
456	0.689062
464	0.689291
472	0.689189
480	0.689363
488	0.689613
496	0.689869
504	0.689987
512	0.690009
520	0.718132
528	0.718459
536	0.717785
544	0.717934
552	0.719162
560	0.719208
568	0.719021
576	0.719298
584	0.719687
592	0.719849
600	0.719619
608	0.719518
616	0.720241
624	0.720387
632	0.72032
640	0.720522
648	0.76877
656	0.768871
664	0.769049
672	0.769524
680	0.770976
688	0.771103
696	0.771478
704	0.771676
712	0.771853
720	0.77185
728	0.772103
736	0.771958
744	0.772438
752	0.772525
760	0.772557
768	0.772551
776	0.836234
784	0.836439
792	0.838171
800	0.839213
808	0.840613
816	0.840491
824	0.84225
832	0.843009
840	0.843172
848	0.843258
856	0.843421
864	0.843484
872	0.843781
880	0.84402
888	0.844151
896	0.844457
904	0.93317
912	0.933809
920	0.940185
928	0.939742
936	0.941803
944	0.942083
952	0.94632
960	0.947212
968	0.947785
976	0.947663
984	0.947748
992	0.947936
1000	0.948406
1008	0.948505
1016	0.948712
1024	0.94888
